timestamp,end_timestamp,location,parameter,value,expected_range_low,expected_range_high,anomaly_score,detection_method,anomaly_type,severity,explanation,evidence
2025-02-21T02:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0029,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-21T10:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0175,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-21T16:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0452,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-21T16:00:00+07:00,,settling_basin,settling_turbidity_ntu,1.895,2.3364,9.9866,-5.577,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-5.577
2025-02-22T02:00:00+07:00,2025-02-22T11:00:00+07:00,raw_water_pond,raw_water_turbidity_ntu,,,,,rule_missing_run,missing_data,warning,Missing measurement run; no imputation was applied.,10 consecutive missing hourly observation(s).
2025-02-25T13:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0225,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-26T01:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0029,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-26T05:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0487,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-26T08:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0298,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-02-26T09:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0498,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-02T02:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0101,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-02T10:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,39.311,0.8367,30.0513,8.1695,rolling_robust_zscore,process_or_environmental_anomaly_candidate,warning,"Value deviates from rolling historical median using robust MAD scale. Repeated turbidity outliers persist within a 24-hour window; this is a process/environment candidate, not a confirmed cause.",rolling_window_hours=24; robust_z=8.170
2025-03-02T11:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,39.497,-2.488,33.376,6.7067,rolling_robust_zscore,process_or_environmental_anomaly_candidate,warning,"Value deviates from rolling historical median using robust MAD scale. Repeated turbidity outliers persist within a 24-hour window; this is a process/environment candidate, not a confirmed cause.",rolling_window_hours=24; robust_z=6.707
2025-03-02T12:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,36.188,-2.488,33.376,5.7841,rolling_robust_zscore,process_or_environmental_anomaly_candidate,warning,"Value deviates from rolling historical median using robust MAD scale. Repeated turbidity outliers persist within a 24-hour window; this is a process/environment candidate, not a confirmed cause.",rolling_window_hours=24; robust_z=5.784
2025-03-02T14:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,37.411,-4.9047,35.7927,5.3976,rolling_robust_zscore,process_or_environmental_anomaly_candidate,warning,"Value deviates from rolling historical median using robust MAD scale. Repeated turbidity outliers persist within a 24-hour window; this is a process/environment candidate, not a confirmed cause.",rolling_window_hours=24; robust_z=5.398
2025-03-02T16:00:00+07:00,,raw_water_pond,raw_water_turbidity_ntu,41.827,-9.5006,41.3526,5.0933,rolling_robust_zscore,process_or_environmental_anomaly_candidate,warning,"Value deviates from rolling historical median using robust MAD scale. Repeated turbidity outliers persist within a 24-hour window; this is a process/environment candidate, not a confirmed cause.",rolling_window_hours=24; robust_z=5.093
2025-03-02T22:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0128,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-03T02:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.036,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-03T05:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0374,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-03T19:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.02,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-04T01:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0609,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-07T03:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.031,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-08T16:00:00+07:00,2025-03-08T16:00:00+07:00,primary_pump_station,pump_1_current_a,,,,,rule_missing_run,missing_data,warning,Missing measurement run; no imputation was applied.,1 consecutive missing hourly observation(s).
2025-03-10T22:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0274,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-11T16:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0345,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-13T09:00:00+07:00,,tien_river,river_ec_us_cm,238.756,242.4088,273.3062,-6.1822,rolling_robust_zscore,sensor_anomaly_candidate,warning,Value deviates from rolling historical median using robust MAD scale. Isolated EC excursion lacks temporal persistence; sensor anomaly candidate.,rolling_window_hours=24; robust_z=-6.182
2025-03-16T00:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0623,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-17T11:00:00+07:00,,storage_tank,storage_chlorine_cl2_mg_l,0.538,0.4308,0.5272,6.1223,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=6.122
2025-03-20T14:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0186,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-20T19:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0102,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-21T15:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0179,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-25T09:00:00+07:00,,tien_river,river_level_m,2.327,2.041,2.293,6.3481,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=6.348
2025-03-25T11:00:00+07:00,,tien_river,river_level_m,2.324,2.018,2.322,5.0669,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=5.067
2025-03-28T04:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0039,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
2025-03-28T08:00:00+07:00,,storage_tank,storage_ph,7.005,7.0139,7.3401,-5.2733,rolling_robust_zscore,statistical_outlier,warning,Value deviates from rolling historical median using robust MAD scale.,rolling_window_hours=24; robust_z=-5.273
2025-03-29T17:00:00+07:00,,multi_location,multivariate_feature_set,,,,-0.0151,isolation_forest,statistical_outlier,warning,Multivariate combination is isolated from the normal data distribution.,features=river_ec_us_cm;river_level_m;qnt_m3_h;raw_water_turbidity_ntu;settling_turbidity_ntu;filter_basin_turbidity_ntu;storage_turbidity_ntu;storage_ph;storage_chlorine_cl2_mg_l; contamination=0.02
